nom,prix,adresse,image
Jeune femelle  lavande,20000,"Les Parcelles Assainies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1204935_uploaded_image1_1573840898.61.png""); width: 370px;"
Pigeon à queue de paon indien,20000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1242200_uploaded_image1_1574510941.51.png""); width: 575px;"
Pigeon fauve,10000,"Mermoz-Sacré-Cœur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1246480_uploaded_image1_1574613561.29.png""); width: 575px;"
Pigeon mondain,20000,"Mermoz-Sacré-Cœur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1247406_uploaded_image1_1574631655.88.png""); width: 575px;"
Lapereaux fauve,Prixsurdemande,"Ngor, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1261253_uploaded_image1_1574871227.98.png""); width: 628px;"
Lapins de race,70000,"Guediawaye, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1291213_uploaded_image2_1575425609.27.png""); width: 472px;"
Lapins de race,70000,"Guediawaye, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1291215_uploaded_image2_1575425694.27.png""); width: 472px;"
Dinde d'Amérique,Prixsurdemande,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1346036_uploaded_image1_1576462750.49.png""); width: 439px;"
Lapins de race,80000,"Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1364891_uploaded_image2_1591311164.jpeg""); width: 369px;"
Oeuf fécondé,240,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1365452_uploaded_image2_1576790350.48.png""); width: 537px;"
Brahmane,50000,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/1415899_uploaded_image2_1577916626.18.png""); width: 550px;"
Poulet de race,40000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1417714_uploaded_image2_1577970780.03.png""); width: 436px;"
Poule,35000,"Hann Bel-Air, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1461888_uploaded_image1_1578719186.99.png""); width: 436px;"
Males Bantam de Pékin,15000,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/1480111_uploaded_image1_1579028647.6.png""); width: 610px;"
Poulet,40000,"Hann Bel-Air, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1521236_uploaded_image1_1579695858.03.png""); width: 417px;"
Oies,90000,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/1584132_uploaded_image3_1580714620.25.png""); width: 610px;"
Femelle cochin bleu,30000,"Les Parcelles Assainies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1599500_uploaded_image1_1580916087.86.png""); width: 370px;"
Poule,55000,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/1645136_uploaded_image2_1581608040.8.png""); width: 550px;"
Lapin métissé,10000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1687460_uploaded_image1_1582336381.54.png""); width: 437px;"
Paon,250000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1691196_uploaded_image1_1582420837.2.png""); width: 583px;"
Coq Orpington Fauve,35000,"Louga, Sénégal","background-image: url(""https://images.coinafrique.com/1699722_uploaded_image1_1582581938.31.png""); width: 430px;"
Pigeons,65000,"Dakar-Plateau, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1712742_uploaded_image1_1582798028.37.png""); width: 396px;"
Poussin Orpington,5000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1716103_uploaded_image1_1582837127.36.png""); width: 419px;"
Coq,25000,"Les Parcelles Assainies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1723625_uploaded_image2_1582972350.57.png""); width: 436px;"
Lapin Angora,25000,"Thies Nord, Thiès, Sénégal","background-image: url(""https://images.coinafrique.com/1732205_uploaded_image2_1583152160.49.png""); width: 369px;"
Mâle bantam,20000,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/1773437_uploaded_image2_1583858452.61.png""); width: 610px;"
Pigeon texan paon indien,60000,"Grand Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1804515_uploaded_image2_1584398280.63.png""); width: 369px;"
Pigeon texan - Paon indien,60000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1804522_uploaded_image1_1584398352.13.png""); width: 369px;"
Paon indien,30000,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/1804679_uploaded_image1_1584402291.56.png""); width: 462px;"
Poulet de chair,2700,Sénégal,"background-image: url(""https://images.coinafrique.com/1804847_uploaded_image1_1584408926.38.png""); width: 407px;"
Cop Brahma,40000,"Parcelle Assainies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1812172_uploaded_image2_1584528622.9.png""); width: 427px;"
Pigeon voyageur,13000,"Dakar-Plateau, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1831098_uploaded_image2_1584866026.28.png""); width: 410px;"
Pigeon voyageur,13000,"Dakar-Plateau, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1831100_uploaded_image1_1584866055.19.png""); width: 410px;"
Poulet de chair,3000,"Rufisque, Sénégal","background-image: url(""https://images.coinafrique.com/1842198_uploaded_image2_1585068914.59.png""); width: 603px;"
Pigeons Mondain / boulan,Prixsurdemande,"Louga, Sénégal","background-image: url(""https://images.coinafrique.com/1856511_uploaded_image1_1585321343.73.png""); width: 383px;"
Poulet de chair,2500,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/1888745_uploaded_image1_1585919292.3.png""); width: 422px;"
Pigeon paon,40000,"Mermoz-Sacré-Cœur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1890068_uploaded_image1_1585932988.65.png""); width: 583px;"
Pigeons Laor,40000,"Mermoz-Sacré-Cœur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1890181_uploaded_image1_1585934252.04.png""); width: 583px;"
Pigeons King,35000,"Mermoz-Sacré-Cœur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1890193_uploaded_image1_1585934383.75.png""); width: 583px;"
Coq Orpitone,30000,"Mermoz-Sacré-Cœur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1890489_uploaded_image1_1585937996.82.png""); width: 583px;"
Poulet,3000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1907954_uploaded_image2_1586270049.67.png""); width: 369px;"
Orpington,30000,"Mermoz-Sacré-Cœur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1913036_uploaded_image1_1586352896.21.png""); width: 583px;"
Lapins,Prixsurdemande,"Dieuppeul-Derklé, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1913175_uploaded_image1_1586355015.48.png""); width: 369px;"
Poulets,2750,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1918730_uploaded_image1_1586442251.23.png""); width: 369px;"
Poulets de chairs,2500,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1934126_uploaded_image1_1586708547.66.png""); width: 596px;"
Poulets,2400,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1963021_uploaded_image1_1587139946.35.jpeg""); width: 406px;"
Poulets,2400,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1963033_uploaded_image1_1587140018.16.jpeg""); width: 406px;"
Couple Brahman,Prixsurdemande,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/1975396_uploaded_image2_1587342507.59.jpeg""); width: 610px;"
Poulets de chair,2500,"Dieuppeul-Derklé, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1988804_uploaded_image2_1587553659.jpeg""); width: 451px;"
Poussins  brahman colombia,Prixsurdemande,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/1990096_uploaded_image1_1587571540.jpg""); width: 610px;"
Pigeon,35000,"Guediawaye, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1992182_uploaded_image1_1587592805.jpg""); width: 369px;"
Couple Laor,50000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1995115_uploaded_image1_1587645382.jpg""); width: 583px;"
Pigeons,50000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1995134_uploaded_image1_1587645507.jpg""); width: 583px;"
Couple  Laor,50000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1995183_uploaded_image1_1587645917.jpg""); width: 583px;"
Couple Laor,50000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1995210_uploaded_image1_1587646147.jpg""); width: 583px;"
Oie,35000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1997244_uploaded_image1_1587667066.jpg""); width: 583px;"
Poulets,3000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2001942_uploaded_image3_1587735662.67.jpeg""); width: 638px;"
Poulets à vendre et oeufs,2200,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/2002375_uploaded_image1_1587741273.jpg""); width: 546px;"
Couple Pigeon Cravate,30000,"Cambérène, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2082389_uploaded_image2_1588989026.jpeg""); width: 370px;"
Poulet Bleu hollandais,30000,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/2106379_uploaded_image2_1592468165.jpeg""); width: 519px;"
Poulet,3000,"Dakar Plateau, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2132014_uploaded_image1_1589793253.jpg""); width: 431px;"
Poulet mâle,2200,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/2172605_uploaded_image1_1590453736.jpg""); width: 555px;"
Pigeon lavande,35000,"Cambérène, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2203490_uploaded_image1_1590929887.jpg""); width: 370px;"
poulet,2500,"Parcelle Assainies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2218341_uploaded_image1_1591159723.jpg""); width: 426px;"
Lapin,15000,"Parcelle Assainies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2221308_uploaded_image2_1591193546.jpeg""); width: 537px;"
Lapin,20000,"Parcelle Assainies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2221541_uploaded_image2_1591196082.jpeg""); width: 537px;"
Lapins Angora française,15000,"HLM, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2223516_uploaded_image1_1591222379.jpg""); width: 369px;"
Lapins,15000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2229912_uploaded_image1_1591309427.jpg""); width: 369px;"
Poussin brahmane,12500,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2257183_uploaded_image1_1591743270.jpg""); width: 583px;"
Poussin brahmane,12500,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2257189_uploaded_image1_1591743386.jpg""); width: 583px;"
Jeunes mâles brahman,Prixsurdemande,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/2258568_uploaded_image1_1591778766.jpg""); width: 550px;"
Couple bramane productrice,65000,"Rufisque, Sénégal","background-image: url(""https://images.coinafrique.com/2263150_uploaded_image1_1591826889.jpg""); width: 577px;"
Culbita rakovni,40000,"Mermoz-Sacré-Cœur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2270078_uploaded_image1_1591913628.5.jpeg""); width: 535px;"
Cochin coucou,40000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2283626_uploaded_image1_1592152112.jpg""); width: 583px;"
Cochin,40000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2283654_uploaded_image1_1592152413.jpg""); width: 583px;"
Poulet,40000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2284393_uploaded_image1_1592163359.jpg""); width: 583px;"
Lapin - lapereaux,20000,"Parcelle Assainies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2297368_uploaded_image2_1592352690.jpeg""); width: 537px;"
Pigeons,60000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2321099_uploaded_image1_1592725966.jpg""); width: 583px;"
Paon - pigeon,35000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2323541_uploaded_image1_1592764212.jpg""); width: 583px;"
Poules bleu Hollande,2000,"Diourbel, Sénégal","background-image: url(""https://images.coinafrique.com/2336310_uploaded_image1_1592955606.jpg""); width: 436px;"
Lapins,50000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2349641_uploaded_image1_1593167061.jpg""); width: 605px;"
Poule de race,15000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2351149_uploaded_image1_1593181470.jpg""); width: 369px;"
Colvert,25000,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/2373373_uploaded_image1_1593556758.jpg""); width: 369px;"
Poussins Brahman,Prixsurdemande,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/2397001_uploaded_image2_1593963656.jpeg""); width: 550px;"
Poussin brahmane,12500,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2421069_uploaded_image1_1594340902.jpg""); width: 583px;"
Pigeons,40000,"Mbour, Sénégal","background-image: url(""https://images.coinafrique.com/2421679_uploaded_image1_1594369562.jpg""); width: 369px;"
Lapins,20000,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/2429419_uploaded_image2_1607288946.jpeg""); width: 440px;"
Poulet,3000,"Patte d'oie, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2450669_uploaded_image1_1594987392.jpg""); width: 406px;"
Poussîns,480,"Dakar Plateau, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2455108_uploaded_image1_1595083998.jpg""); width: 425px;"
Pigeon voyageur,Prixsurdemande,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2463056_uploaded_image1_1595273844.jpg""); width: 607px;"
Pigeon boulant de pomerani mâle,50000,"Guediawaye, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2499730_uploaded_image1_1596141952.jpg""); width: 392px;"
Lapin femelle,25000,"Fass, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2501399_uploaded_image1_1596221963.jpg""); width: 369px;"
Pigeon voyageur,7000,"Mbao, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2505095_uploaded_image1_1596378141.jpg""); width: 385px;"
Pigeon voyageur,7000,"Mbao, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2507523_uploaded_image1_1596456276.jpg""); width: 385px;"
Paons,5000,"Mbao, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2511822_uploaded_image1_1596551448.jpg""); width: 385px;"
Poussins brahman colombia,Prixsurdemande,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/2513890_uploaded_image1_1596608950.jpg""); width: 550px;"
Pigeon allemand,50000,"Mbao, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2516109_uploaded_image1_1596644250.jpg""); width: 387px;"
Poulet - oeuf,Prixsurdemande,"Hann Bel-Air, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2516606_uploaded_image1_1596653482.jpg""); width: 450px;"
Pigeons,Prixsurdemande,"Mboro, Sénégal","background-image: url(""https://images.coinafrique.com/2521008_uploaded_image1_1596768507.jpg""); width: 534px;"
Lapin nain,30000,"Parcelle Assainies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2541503_uploaded_image1_1597357353.jpg""); width: 458px;"
Lapin nain,35000,"Parcelle Assainies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2541523_uploaded_image1_1597358026.jpg""); width: 549px;"
Brahman colombia,Prixsurdemande,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/2560354_uploaded_image1_1597924245.jpg""); width: 610px;"
Pigeons dragon blanc sec & voyageur,15000,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/2561021_uploaded_image1_1597934615.jpg""); width: 419px;"
Pigeons cravaté chinois,15000,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/2566760_uploaded_image1_1598102409.jpg""); width: 419px;"
Poules Brahman,15000,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/2572060_uploaded_image1_1598279843.jpg""); width: 392px;"
Poulets,3000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2577823_uploaded_image1_1598451435.jpg""); width: 369px;"
Bramah  - hermineh  -frises blancs,25000,"Sicap Liberté, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2591465_uploaded_image2_1598970773.jpeg""); width: 558px;"
Pigeon voyageur,4000,"Ouakam, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2600934_uploaded_image2_1599238240.jpeg""); width: 407px;"
Pigeon ordinaire,1000,"Mbour, Sénégal","background-image: url(""https://images.coinafrique.com/2604620_uploaded_image1_1599388255.jpg""); width: 369px;"
Paire Cohen Barman,65000,"Ndiass, Sénégal","background-image: url(""https://images.coinafrique.com/2605030_uploaded_image1_1599401534.jpg""); width: 425px;"
Couple texan,45000,"Mbao, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2608792_uploaded_image2_1599519769.jpeg""); width: 407px;"
Couple Texan,55000,"Mbao, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2615679_uploaded_image2_1599734825.jpeg""); width: 407px;"
Pigeons Boulant De Saxe adultes,40000,"Guediawaye, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2617019_uploaded_image1_1599763487.jpg""); width: 392px;"
Pigeon voyageur,Prixsurdemande,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/2621772_uploaded_image2_1599939192.jpeg""); width: 369px;"
Poule rouge & bleus d'Hollande,10000,"Thies, Sénégal","background-image: url(""https://images.coinafrique.com/2625194_uploaded_image2_1600090475.jpeg""); width: 521px;"
Couple Texan,45000,"Mbao, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2627818_uploaded_image1_1600179722.jpg""); width: 407px;"
Poulets brahman,25000,"Guediawaye, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2631399_uploaded_image1_1600290648.jpg""); width: 442px;"
Lapins nains,30000,"Parcelle Assainies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2640033_uploaded_image1_1600626505.jpg""); width: 549px;"
Lapins nains,35000,"Parcelle Assainies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2640044_uploaded_image1_1600626910.jpg""); width: 458px;"
Pigeons voyageurs,Prixsurdemande,"Cambérène, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2640132_uploaded_image1_1600629959.jpg""); width: 411px;"
Poule Cochin cailloutée,180000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2641987_uploaded_image1_1600702005.jpg""); width: 396px;"
Lapin géant Angoura,15000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2644118_uploaded_image1_1600776918.jpg""); width: 414px;"
Pigeon - Couple Texen,35000,"Mbao, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2655212_uploaded_image1_1601230092.jpg""); width: 369px;"
Pigeons mondains,200000,"Mbour, Sénégal","background-image: url(""https://images.coinafrique.com/2663305_uploaded_image2_1601545362.jpeg""); width: 400px;"
Poules,20000,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/2673317_uploaded_image1_1601899857.jpg""); width: 392px;"
Brahmanes de pure race - peruches ondulés,25000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2678983_uploaded_image2_1602106099.jpeg""); width: 430px;"
Lapin métisse,10000,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/2683357_uploaded_image2_1602258164.jpeg""); width: 379px;"
Pigeons mâles king,55000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2687762_uploaded_image1_1602444932.jpg""); width: 583px;"
Poulet Cochin blanc,50000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2687766_uploaded_image1_1602445033.jpg""); width: 583px;"
Pigeon,25000,"Gibraltar, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2689453_uploaded_image1_1602511661.jpg""); width: 425px;"
Couple texan,35000,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/2695680_uploaded_image1_1602716686.jpg""); width: 369px;"
Cochin blanc,Prixsurdemande,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/2711734_uploaded_image2_1603372456.jpeg""); width: 610px;"
Cochin caïllouté,Prixsurdemande,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/2711749_uploaded_image2_1603372820.jpeg""); width: 550px;"
Poule Baraman,Prixsurdemande,"Bargny, Sénégal","background-image: url(""https://images.coinafrique.com/2712048_uploaded_image1_1603379295.jpg""); width: 576px;"
Lapin / Géant de Flandre,40000,"Hann Bel-Air, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2723627_uploaded_image2_1603897714.jpeg""); width: 446px;"
Lapin géant Flandre,Prixsurdemande,"Hann Bel-Air, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2735556_uploaded_image1_1604425922.jpg""); width: 446px;"
Mondains blancs,200000,"Cambérène, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2739851_uploaded_image1_1604571811.jpg""); width: 411px;"
Pigeon mondain - pigeons texans,Prixsurdemande,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2742216_uploaded_image1_1604649341.jpg""); width: 369px;"
Voyageurs à manteaux,30000,"Cambérène, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2742963_uploaded_image1_1604666266.jpg""); width: 411px;"
Dindes,Prixsurdemande,"Guediawaye, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2743094_uploaded_image1_1604668932.jpg""); width: 418px;"
Brahmane,35000,"Louga, Sénégal","background-image: url(""https://images.coinafrique.com/2747312_uploaded_image1_1604842724.jpg""); width: 369px;"
Métisses boulan - mondain,25000,"Louga, Sénégal","background-image: url(""https://images.coinafrique.com/2747317_uploaded_image1_1604842927.jpg""); width: 369px;"
Pigeon boulant pomeranie,60000,"Mbao, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2753142_uploaded_image1_1605047412.jpg""); width: 369px;"
Pigeon,20000,"Mbao, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2753197_uploaded_image1_1605050172.jpg""); width: 369px;"
Poulets de chair,3000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2771365_uploaded_image1_1605717090.jpg""); width: 666px;"
Cailles + œufs de caille,6000,"Dakar Plateau, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2777887_uploaded_image2_1605969643.jpeg""); width: 438px;"
Lapin nains,35000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2787066_uploaded_image1_1606316714.jpg""); width: 458px;"
Male cochin caïllouté,Prixsurdemande,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/2824883_uploaded_image1_1607700865.jpg""); width: 610px;"
